msoa_code,msoa_name,local_auth_code,local_auth_name,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,march_deaths,april_deaths,may_deaths,june_deaths,july_deaths,total_population_mid_2018,over_70_prop,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000311,Enfield 035,E09000010,Enfield,10,0.924299842869026,17,1.5713097328773453,1,15,0,1,0,10819,0.0887327849154265,0.439424635332252,0.136142625607779,0.0341369529983792,0.0686790923824959,11.46,6.22,5.94,3.8,2.15,7054.0,16738.0,24887.5,2032.0,7435.0
E02000312,Enfield 036,E09000010,Enfield,5,0.430774532609632,9,0.7753941586973379,1,8,0,0,0,11607,0.0833117946067028,0.344600401031223,0.0993029695407237,0.0250167096342977,0.0687482096820395,10.72,5.84,5.04,4.09,2.09,13221.0,22116.5,23463.0,3914.5,8346.0
E02000313,Greenwich 001,E09000011,Greenwich,2,0.265287173365167,4,0.5305743467303355,0,4,0,0,0,7539,0.0465578989255869,0.507310386841303,0.40740176667682,0.00715808711544319,0.00883338409990862,11.35,7.16,4.96,3.89,1.43,6192.5,11673.5,15529.5,2017.0,20291.0
E02000314,Greenwich 002,E09000011,Greenwich,7,0.434863639187426,12,0.7454805243213021,1,9,1,1,0,16097,0.0227992793688264,0.6106806441811,0.43808872683075,0.0177757520510483,0.0181555758128228,9.54,6.36,3.9,3.26,0.99,10245.0,22088.0,19077.0,1047.0,20820.0
E02000315,Greenwich 003,E09000011,Greenwich,6,0.618620476337766,8,0.824827301783689,0,7,0,1,0,9699,0.0670172182699247,0.477202643171806,0.348127753303964,0.0140969162995594,0.0199339207048458,12.62,9.64,5.84,4.28,1.97,3663.0,11976.0,7885.0,3832.0,14673.0
E02000316,Greenwich 004,E09000011,Greenwich,6,0.413080895008605,5,0.3442340791738382,1,4,0,0,0,14525,0.0337349397590361,0.468837209302325,0.241395348837209,0.0170232558139534,0.0306046511627906,9.42,7.25,4.19,3.92,1.26,9516.0,18550.5,11094.0,3298.0,12439.5
E02000317,Greenwich 005,E09000011,Greenwich,6,0.69848661233993,6,0.6984866123399301,1,5,0,0,0,8590,0.0530849825378346,0.517084826762246,0.313142174432497,0.0204301075268817,0.0176821983273596,10.02,7.18,4.68,3.97,1.47,3640.0,11667.0,10463.0,4371.0,15193.0
E02000318,Greenwich 006,E09000011,Greenwich,4,0.381460995613198,6,0.5721914934197978,0,4,2,0,0,10486,0.0733358764066374,0.649766307661044,0.231660231660231,0.0507010770168664,0.0864661654135338,14.13,9.48,6.57,4.49,2.09,7464.0,14953.0,22132.0,4008.0,8226.0
E02000319,Greenwich 007,E09000011,Greenwich,4,0.336671997306624,7,0.589175995286592,3,2,2,0,0,11881,0.0448615436411076,0.584267614620362,0.273174733388022,0.0410172272354388,0.0716434235712332,13.27,8.96,6.16,4.46,1.91,10098.0,17163.5,13859.0,3842.5,13558.5
E02000320,Greenwich 008,E09000011,Greenwich,7,0.957854406130268,9,1.2315270935960592,2,7,0,0,0,7308,0.0592501368363437,0.44338768115942,0.247131642512077,0.0167572463768115,0.0289855072463768,11.19,9.03,5.22,4.19,1.81,15813.5,18163.5,19465.5,13021.0,8099.0
E02000321,Greenwich 009,E09000011,Greenwich,2,0.259100919808265,5,0.6477522995206633,0,4,0,1,0,7719,0.0603705143153258,0.497916666666666,0.276111111111111,0.0218055555555555,0.0286111111111111,12.52,9.35,6.04,4.48,1.83,5311.0,12608.0,12131.5,3669.5,17148.0
E02000323,Greenwich 011,E09000011,Greenwich,6,0.529707777875871,11,0.971130926105765,0,9,2,0,0,11327,0.0514699390836055,0.609705827243769,0.327150084317032,0.0288551620760727,0.0569608394228967,11.35,8.74,5.47,4.6,1.63,4917.0,12422.5,10228.0,2557.0,11035.5
E02000324,Greenwich 012,E09000011,Greenwich,4,0.500187570338877,10,1.2504689258471926,0,5,3,2,0,7997,0.0814055270726522,0.398906356801093,0.176760082023239,0.0243335611756664,0.026930963773069,10.19,5.35,4.09,4.61,1.85,7576.0,14907.0,14662.0,4322.0,12004.0
E02000326,Greenwich 014,E09000011,Greenwich,4,0.536624631070566,5,0.6707807888382077,1,4,0,0,0,7454,0.0685537966192648,0.323620933521923,0.132673267326732,0.0154172560113154,0.0376237623762376,10.34,5.11,3.89,4.23,1.75,15748.5,26482.5,21846.0,13404.5,7504.0
E02000327,Greenwich 015,E09000011,Greenwich,3,0.4197565412061,7,0.9794319294809011,0,4,3,0,0,7147,0.0360990625437246,0.524102564102564,0.332893772893772,0.0131868131868131,0.0142124542124542,11.05,7.8,5.15,4.38,1.56,6897.5,12455.5,10566.0,2239.5,17251.5
E02000328,Greenwich 016,E09000011,Greenwich,6,0.876680303915838,10,1.461133839859731,0,9,0,0,1,6844,0.111776738749269,0.183772328186497,0.0658492279745685,0.00408719346049046,0.0211928549803209,9.66,3.99,3.38,3.82,1.53,15689.5,29244.0,17868.5,7599.0,11438.0
E02000329,Greenwich 017,E09000011,Greenwich,2,0.316756414317389,4,0.6335128286347799,1,3,0,0,0,6314,0.0974025974025974,0.359223300970873,0.166181229773462,0.0258899676375404,0.0535598705501618,14.8,9.68,6.48,5.1,2.4,11454.5,18207.5,20039.5,11756.5,9906.0
E02000331,Greenwich 019,E09000011,Greenwich,6,0.728420541459269,7,0.849823965035814,0,6,1,0,0,8237,0.0781838047832948,0.352573106882901,0.156684969991061,0.016600689567105,0.0363938194355765,11.14,5.96,4.36,4.68,1.73,7065.0,15110.5,13286.0,3655.5,12684.0
E02000332,Greenwich 020,E09000011,Greenwich,2,0.258732212160414,1,0.129366106080207,0,1,0,0,0,7730,0.0924967658473479,0.314628429615331,0.1584172066731,0.0159933820488073,0.0341927478284847,11.58,8.07,5.09,4.53,1.74,15786.0,25212.0,18238.0,10899.0,12416.0
E02000333,Greenwich 021,E09000011,Greenwich,3,0.457945351854678,4,0.6105938024729048,1,2,0,1,0,6551,0.1256296748588,0.153613016430052,0.0491306428457489,0.00414739192853724,0.0215345350135587,11.9,4.56,3.71,4.92,2.04,24313.0,29537.5,27611.0,7549.5,10594.0
E02000334,Greenwich 022,E09000011,Greenwich,4,0.604869197036141,10,1.5121729925903524,0,8,2,0,0,6613,0.0934522909420837,0.316741381975575,0.137888390786829,0.0197866749111145,0.0336991807079919,11.02,5.2,4.03,4.47,1.82,11488.0,17710.5,18170.5,4758.0,13979.0
E02000335,Greenwich 023,E09000011,Greenwich,3,0.436554132712456,3,0.43655413271245636,0,3,0,0,0,6872,0.12092549476135,0.115742861505573,0.0311497938616582,0.00274851122308749,0.0138952511833867,13.79,6.76,4.47,4.63,2.52,23249.5,22084.5,24767.5,13607.5,11330.0
